season,venue,goals
2006–07,home,1.6470588235294117
2007–08,home,1.4836601307189543
2008–09,home,1.630718954248366
2009–10,home,1.4695652173913043
2010–11,home,1.5916666666666666
2011–12,home,1.7541666666666667
2012–13,home,1.5625
2013–14,home,1.5416666666666667
2014–15,home,1.5666666666666667
2015–16,home,1.675
2016–17,home,1.6083333333333334
2017–18,home,1.5583333333333333
2018–19,home,1.5791666666666666
2019–20,home,1.6349206349206349
2006–07,away,1.1405228758169934
2007–08,away,1.1143790849673203
2008–09,away,1.1633986928104576
2009–10,away,1.2434782608695651
2010–11,away,1.0541666666666667
2011–12,away,1.125
2012–13,away,1.3666666666666667
2013–14,away,1.15
2014–15,away,1.2166666666666666
2015–16,away,1.2166666666666666
2016–17,away,1.1333333333333333
2017–18,away,1.3
2018–19,away,1.3208333333333333
2019–20,away,1.2619047619047619
